Index	Label
1	Left-Thalamus
2	Left-Caudate
3	Left-Putamen
4	Left-Pallidum
5	Left-Hippocampus
6	Left-Amygdala
7	Left-Accumbens-area
8	Right-Thalamus
9	Right-Caudate
10	Right-Putamen
11	Right-Pallidum
12	Right-Hippocampus
13	Right-Amygdala
14	Right-Accumbens-area
15	ctx-lh-bankssts
16	ctx-lh-caudalanteriorcingulate
17	ctx-lh-caudalmiddlefrontal
18	ctx-lh-cuneus
19	ctx-lh-entorhinal
20	ctx-lh-fusiform
21	ctx-lh-inferiorparietal
22	ctx-lh-inferiortemporal
23	ctx-lh-isthmuscingulate
24	ctx-lh-lateraloccipital
25	ctx-lh-lateralorbitofrontal
26	ctx-lh-lingual
27	ctx-lh-medialorbitofrontal
28	ctx-lh-middletemporal
29	ctx-lh-parahippocampal
30	ctx-lh-paracentral
31	ctx-lh-parsopercularis
32	ctx-lh-parsorbitalis
33	ctx-lh-parstriangularis
34	ctx-lh-pericalcarine
35	ctx-lh-postcentral
36	ctx-lh-posteriorcingulate
37	ctx-lh-precentral
38	ctx-lh-precuneus
39	ctx-lh-rostralanteriorcingulate
40	ctx-lh-rostralmiddlefrontal
41	ctx-lh-superiorfrontal
42	ctx-lh-superiorparietal
43	ctx-lh-superiortemporal
44	ctx-lh-supramarginal
45	ctx-lh-frontalpole
46	ctx-lh-temporalpole
47	ctx-lh-transversetemporal
48	ctx-lh-insula
49	ctx-rh-bankssts
50	ctx-rh-caudalanteriorcingulate
51	ctx-rh-caudalmiddlefrontal
52	ctx-rh-cuneus
53	ctx-rh-entorhinal
54	ctx-rh-fusiform
55	ctx-rh-inferiorparietal
56	ctx-rh-inferiortemporal
57	ctx-rh-isthmuscingulate
58	ctx-rh-lateraloccipital
59	ctx-rh-lateralorbitofrontal
60	ctx-rh-lingual
61	ctx-rh-medialorbitofrontal
62	ctx-rh-middletemporal
63	ctx-rh-parahippocampal
64	ctx-rh-paracentral
65	ctx-rh-parsopercularis
66	ctx-rh-parsorbitalis
67	ctx-rh-parstriangularis
68	ctx-rh-pericalcarine
69	ctx-rh-postcentral
70	ctx-rh-posteriorcingulate
71	ctx-rh-precentral
72	ctx-rh-precuneus
73	ctx-rh-rostralanteriorcingulate
74	ctx-rh-rostralmiddlefrontal
75	ctx-rh-superiorfrontal
76	ctx-rh-superiorparietal
77	ctx-rh-superiortemporal
78	ctx-rh-supramarginal